                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                      0,                 86.599,                      0,                      0,                      0,                      0,                      0,                      0,                  51.92,                      0,             0.00065942,             0.00065942,             0.00065942
                      2,                      0,                 53.657,                      0,                      0,                      0,                      0,                      0,                      0,                 35.487,                      0,             0.00088848,             0.00088848,             0.00088848
                      3,                      0,                 39.218,                      0,                      0,                      0,                      0,                      0,                 4.7131,                 28.685,                0.39108,             0.00067754,             0.00067754,             0.00067754
