                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4735,                 2.1927,                 1.1298,                0.79401,                0.67673,                 0.8271,                0.42942,                 1.5916,                 1.7953,                0.86343,             0.00065965,             0.00065965,             0.00065965
                      2,                 1.6775,                 1.0168,                0.87758,                0.90843,                0.91592,                0.96003,                0.56517,                 1.4222,                0.79587,                0.84802,             0.00088863,             0.00088863,             0.00088863
                      3,                 1.5054,                0.85201,                 0.8597,                0.92716,                0.93415,                0.97484,                 0.6165,                 1.2626,                0.70677,                0.83434,             0.00067761,             0.00067761,             0.00067761
