                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  1.212,                0.65379,                0.97965,                 0.8722,                0.89934,                0.95611,                0.65193,                  1.018,                0.55955,                0.94053,              0.0017822,              0.0017822,              0.0017822
                     36,                 1.1698,                0.60802,                0.91413,                0.86232,                0.91037,                0.94947,                0.65208,                0.98903,                0.56104,                0.93079,              0.0017756,              0.0017756,              0.0017756
                     37,                 1.0996,                0.62076,                 0.9661,                  0.865,                0.91892,                0.95626,                0.67638,                0.99254,                0.55019,                0.93346,               0.001769,               0.001769,               0.001769
                     38,                 1.0484,                0.57676,                0.95029,                0.88422,                0.91764,                0.96254,                0.68217,                0.96924,                0.53089,                0.92604,              0.0017624,              0.0017624,              0.0017624
                     39,                 1.1177,                0.61111,                 1.0264,                 0.9127,                0.89144,                0.96305,                0.67725,                0.94516,                0.52495,                0.92071,              0.0017558,              0.0017558,              0.0017558
                     40,                 1.0621,                0.59504,                0.93967,                0.90946,                0.90891,                0.96091,                0.67508,                0.94827,                0.52594,                0.92036,              0.0017492,              0.0017492,              0.0017492
                     41,                 1.0782,                 0.5919,                 0.9339,                0.93632,                0.88332,                0.96126,                 0.6817,                0.94676,                0.52007,                0.91847,              0.0017426,              0.0017426,              0.0017426
                     42,                 1.0849,                 0.6058,                 0.9532,                0.93029,                0.87597,                0.96974,                0.70141,                0.94192,                0.52904,                0.91658,               0.001736,               0.001736,               0.001736
                     43,                 1.1856,                0.64253,                0.93414,                0.94205,                0.87403,                0.97028,                0.69918,                0.95175,                0.52274,                0.91813,              0.0017294,              0.0017294,              0.0017294
                     44,                 1.0504,                0.54865,                0.89042,                0.90226,                0.91235,                 0.9697,                0.70298,                0.94397,                0.51503,                0.91323,              0.0017228,              0.0017228,              0.0017228
                     45,                 1.0065,                0.58669,                0.94609,                0.93258,                0.88566,                0.96924,                0.69636,                0.95112,                 0.5216,                0.91188,              0.0017162,              0.0017162,              0.0017162
                     46,                0.95719,                0.52501,                 0.9228,                0.90886,                0.88901,                 0.9628,                0.67928,                0.97692,                0.53475,                0.92367,              0.0017096,              0.0017096,              0.0017096
                     47,                 1.2195,                0.67255,                0.93893,                0.90773,                0.87209,                0.95593,                0.67385,                0.98805,                0.54901,                0.93247,               0.001703,               0.001703,               0.001703
                     48,                0.98093,                0.54986,                0.92879,                0.91186,                0.86215,                0.95661,                0.68511,                0.95781,                0.53766,                0.91578,              0.0016964,              0.0016964,              0.0016964
                     49,                0.99483,                0.55985,                0.92039,                0.92225,                0.87353,                0.96222,                0.69845,                0.91544,                0.50941,                0.90324,              0.0016898,              0.0016898,              0.0016898
                     50,                 1.0775,                0.62976,                0.99344,                0.91825,                 0.8925,                0.96515,                0.70408,                 0.8996,                0.50095,                0.89902,              0.0016832,              0.0016832,              0.0016832
                     51,                 1.0197,                0.57859,                0.91616,                0.91118,                0.89471,                0.96295,                 0.7052,                0.88768,                0.49954,                0.89802,              0.0016766,              0.0016766,              0.0016766
                     52,                0.93336,                0.54662,                0.94423,                0.91724,                0.90214,                  0.966,                0.71477,                0.86466,                0.48858,                0.89131,                0.00167,                0.00167,                0.00167
                     53,                0.91656,                0.51727,                0.90979,                0.93044,                0.90891,                 0.9749,                0.72415,                0.86041,                0.47896,                0.88966,              0.0016634,              0.0016634,              0.0016634
                     54,                0.93661,                0.52934,                0.90889,                0.91759,                0.92789,                0.97589,                0.72027,                0.89182,                0.48084,                0.89747,              0.0016568,              0.0016568,              0.0016568
                     55,                 1.0489,                0.56297,                 0.9377,                0.93162,                0.89767,                0.97107,                0.71649,                0.89124,                0.48688,                0.89771,              0.0016502,              0.0016502,              0.0016502
                     56,                0.95495,                0.53359,                0.92407,                0.90462,                0.93738,                0.97175,                0.73233,                0.84942,                 0.4777,                0.88578,              0.0016436,              0.0016436,              0.0016436
                     57,                0.90387,                0.50833,                0.91826,                0.91411,                0.92818,                0.97586,                0.74278,                0.82298,                0.47217,                0.87814,               0.001637,               0.001637,               0.001637
                     58,                0.96465,                0.54908,                 0.9321,                0.88861,                0.95543,                0.97647,                0.73248,                 0.8304,                0.47493,                0.88082,              0.0016304,              0.0016304,              0.0016304
                     59,                0.86024,                0.49687,                0.91975,                0.91325,                0.93845,                0.97796,                0.72789,                0.83616,                0.46691,                0.88294,              0.0016238,              0.0016238,              0.0016238
                     60,                0.89483,                0.48881,                0.87784,                0.93449,                 0.9438,                0.98183,                0.72454,                0.83505,                0.46835,                0.88229,              0.0016172,              0.0016172,              0.0016172
                     61,                0.90233,                0.50105,                0.86939,                0.93671,                0.94652,                0.98576,                0.72955,                0.83291,                0.46314,                0.87929,              0.0016106,              0.0016106,              0.0016106
                     62,                0.88739,                0.52883,                0.90853,                0.93243,                0.96279,                0.98772,                0.73567,                0.83433,                0.46608,                0.87901,               0.001604,               0.001604,               0.001604
                     63,                0.91507,                0.50792,                0.89159,                 0.9336,                0.95368,                0.98469,                0.73374,                0.83737,                0.47044,                0.88075,              0.0015974,              0.0015974,              0.0015974
                     64,                0.90626,                0.50224,                0.90674,                0.92502,                0.94961,                0.98322,                0.73661,                 0.8427,                 0.4782,                0.88387,              0.0015908,              0.0015908,              0.0015908
                     65,                 0.9042,                0.51016,                0.92689,                0.93765,                0.93023,                0.98139,                0.73735,                0.83846,                0.48149,                0.88311,              0.0015842,              0.0015842,              0.0015842
                     66,                0.91692,                 0.5505,                0.93008,                0.91807,                0.93377,                0.97551,                0.72152,                0.86803,                0.48387,                0.89004,              0.0015776,              0.0015776,              0.0015776
                     67,                0.91882,                0.52407,                0.90521,                0.93595,                0.92829,                0.97884,                0.71985,                0.88657,                0.48178,                0.89501,               0.001571,               0.001571,               0.001571
                     68,                0.94647,                0.51238,                0.87235,                0.95423,                0.92935,                0.98298,                0.73639,                0.85338,                0.46828,                0.88325,              0.0015644,              0.0015644,              0.0015644
                     69,                  0.869,                0.51857,                0.90573,                0.96007,                0.93185,                0.98634,                0.73368,                0.84562,                0.45385,                0.87847,              0.0015578,              0.0015578,              0.0015578
                     70,                0.93471,                0.50727,                0.89324,                0.96397,                0.92829,                 0.9869,                0.73318,                0.84832,                0.45531,                0.87882,              0.0015512,              0.0015512,              0.0015512
                     71,                0.84065,                0.46576,                0.87303,                0.95714,                0.93023,                0.98648,                0.74302,                0.81184,                0.44595,                0.87136,              0.0015446,              0.0015446,              0.0015446
                     72,                0.85488,                0.48853,                0.88449,                0.92633,                0.95037,                0.98499,                0.75213,                0.79702,                0.44634,                 0.8702,               0.001538,               0.001538,               0.001538
                     73,                0.94802,                0.51832,                 0.8805,                0.93167,                0.95121,                0.98347,                0.75571,                0.79032,                 0.4416,                0.87076,              0.0015314,              0.0015314,              0.0015314
                     74,                0.91248,                0.51935,                0.88918,                0.93389,                0.93073,                0.98422,                0.75727,                0.79622,                0.44717,                0.87332,              0.0015248,              0.0015248,              0.0015248
                     75,                0.83249,                0.47584,                0.86928,                0.93302,                0.94484,                0.98471,                 0.7583,                0.78216,                0.44396,                0.86931,              0.0015182,              0.0015182,              0.0015182
                     76,                0.91054,                0.52101,                 0.8867,                0.94575,                0.94594,                0.98633,                0.76793,                0.76183,                0.43701,                0.86453,              0.0015116,              0.0015116,              0.0015116
                     77,                0.85367,                0.52284,                0.90339,                0.94409,                0.94901,                0.98624,                0.77464,                0.74397,                0.42831,                0.85906,               0.001505,               0.001505,               0.001505
                     78,                0.84506,                0.49039,                0.89685,                0.93451,                0.93798,                0.98402,                0.77862,                0.73443,                0.43303,                0.85654,              0.0014984,              0.0014984,              0.0014984
                     79,                0.84988,                0.46939,                0.88093,                0.93183,                0.92716,                0.98164,                0.78408,                0.72278,                0.43612,                0.85388,              0.0014918,              0.0014918,              0.0014918
                     80,                0.84319,                0.48904,                0.90086,                 0.9387,                0.95155,                0.98099,                0.78725,                0.72011,                0.41866,                0.85351,              0.0014852,              0.0014852,              0.0014852
                     81,                0.82618,                 0.4719,                0.88345,                0.95469,                0.93927,                 0.9855,                0.77938,                0.72861,                 0.4216,                0.85503,              0.0014786,              0.0014786,              0.0014786
                     82,                0.81718,                0.46836,                0.90291,                0.94501,                0.93254,                0.98483,                0.76882,                0.74135,                0.43104,                0.85804,               0.001472,               0.001472,               0.001472
                     83,                0.83481,                0.48343,                0.87288,                0.94105,                 0.9438,                0.98491,                0.76838,                0.75119,                0.43877,                0.85939,              0.0014654,              0.0014654,              0.0014654
                     84,                0.86425,                0.50477,                0.88876,                  0.944,                0.94961,                0.98665,                0.76458,                0.74862,                0.43261,                 0.8558,              0.0014588,              0.0014588,              0.0014588
                     85,                0.84375,                0.49014,                0.86587,                0.93965,                0.94961,                0.98738,                0.77481,                0.73492,                0.41804,                0.85189,              0.0014522,              0.0014522,              0.0014522
                     86,                0.82088,                0.48463,                0.87341,                0.94245,                0.95219,                 0.9873,                0.77194,                 0.7297,                 0.4158,                0.85055,              0.0014456,              0.0014456,              0.0014456
                     87,                0.79233,                0.45959,                 0.8669,                0.93922,                0.95825,                0.98821,                0.78026,                0.72529,                 0.4101,                 0.8504,               0.001439,               0.001439,               0.001439
                     88,                 0.8007,                0.47241,                0.86884,                0.93425,                0.96124,                 0.9877,                0.77975,                0.71831,                0.41456,                0.85018,              0.0014324,              0.0014324,              0.0014324
                     89,                0.80348,                0.46141,                0.87631,                 0.9379,                0.95543,                 0.9826,                0.78688,                0.69987,                0.40741,                0.84723,              0.0014258,              0.0014258,              0.0014258
                     90,                0.75525,                0.43745,                0.87228,                0.95323,                0.94787,                0.98916,                0.78807,                0.69686,                0.41366,                0.84763,              0.0014192,              0.0014192,              0.0014192
                     91,                0.75287,                0.45308,                0.86496,                0.95849,                0.93974,                0.98792,                  0.786,                0.69857,                0.41006,                0.84921,              0.0014126,              0.0014126,              0.0014126
                     92,                0.84402,                0.47682,                0.87276,                0.95827,                0.93217,                0.98679,                0.79035,                0.68953,                0.40451,                0.84624,               0.001406,               0.001406,               0.001406
                     93,                0.90163,                0.47698,                0.86989,                0.95841,                0.93786,                0.98649,                0.79826,                0.67488,                0.40001,                0.84153,              0.0013994,              0.0013994,              0.0013994
                     94,                0.75651,                0.44487,                0.86098,                0.95335,                0.95155,                0.98715,                0.79545,                0.67673,                 0.3982,                0.84305,              0.0013928,              0.0013928,              0.0013928
                     95,                0.89112,                0.48843,                0.87433,                0.95168,                0.95424,                0.98821,                 0.7931,                0.68777,                0.39942,                0.84588,              0.0013862,              0.0013862,              0.0013862
                     96,                0.81227,                  0.481,                0.87732,                 0.9517,                0.95462,                0.98881,                0.79578,                0.67843,                0.39648,                0.84305,              0.0013796,              0.0013796,              0.0013796
                     97,                0.78072,                0.45202,                0.89244,                0.95581,                0.96512,                0.98869,                  0.794,                0.67665,                0.39437,                0.83972,               0.001373,               0.001373,               0.001373
                     98,                0.76827,                0.43685,                0.87505,                 0.9541,                0.96687,                0.98842,                0.79511,                0.67305,                0.39473,                0.83934,              0.0013664,              0.0013664,              0.0013664
                     99,                0.84215,                0.47123,                0.88554,                0.95317,                 0.9468,                0.98724,                0.78932,                0.69614,                0.39736,                 0.8447,              0.0013598,              0.0013598,              0.0013598
                    100,                0.77577,                0.45248,                 0.8634,                0.95534,                0.94186,                0.98567,                0.78189,                0.71713,                0.40374,                0.84927,              0.0013532,              0.0013532,              0.0013532
                    101,                0.77897,                0.46712,                0.89212,                0.95962,                 0.9438,                0.98687,                0.78817,                0.69283,                0.39883,                0.84384,              0.0013466,              0.0013466,              0.0013466
                    102,                0.82582,                0.45664,                0.85347,                0.95694,                0.94757,                0.98737,                0.79279,                0.67553,                0.39623,                0.84135,                0.00134,                0.00134,                0.00134
                    103,                0.81588,                0.44916,                0.85441,                0.94769,                0.94806,                0.98556,                0.79396,                0.67256,                0.39388,                0.84066,              0.0013334,              0.0013334,              0.0013334
                    104,                0.76295,                0.44514,                0.85791,                0.95941,                 0.9438,                0.98625,                0.79582,                0.66636,                0.39063,                 0.8389,              0.0013268,              0.0013268,              0.0013268
                    105,                0.82472,                0.46715,                 0.8662,                0.95297,                 0.9425,                0.98463,                0.79985,                0.65466,                0.38688,                 0.8367,              0.0013202,              0.0013202,              0.0013202
                    106,                0.78056,                 0.4553,                0.87119,                 0.9493,                0.94574,                0.98492,                0.80139,                0.65729,                0.39033,                0.83666,              0.0013136,              0.0013136,              0.0013136
                    107,                0.69116,                0.41461,                0.85817,                0.95282,                0.95349,                0.98567,                0.80683,                0.65797,                0.38697,                0.83632,               0.001307,               0.001307,               0.001307
                    108,                0.84212,                0.49787,                0.89946,                0.96428,                0.95155,                0.98866,                 0.8066,                0.65097,                0.38166,                0.83596,              0.0013004,              0.0013004,              0.0013004
                    109,                0.78835,                0.44942,                0.85621,                0.96272,                0.95101,                0.98541,                 0.8083,                0.65165,                0.38053,                 0.8359,              0.0012938,              0.0012938,              0.0012938
                    110,                0.82785,                0.46781,                0.86818,                0.96439,                0.94574,                0.98264,                0.81224,                0.64465,                0.38188,                0.83437,              0.0012872,              0.0012872,              0.0012872
                    111,                0.71793,                0.43325,                0.90103,                0.95583,                0.94961,                0.98755,                0.80431,                0.67097,                0.38761,                 0.8405,              0.0012806,              0.0012806,              0.0012806
                    112,                0.83961,                0.45059,                0.85661,                0.95172,                0.95499,                0.98583,                0.80186,                  0.687,                 0.3961,                0.84428,               0.001274,               0.001274,               0.001274
                    113,                0.78687,                0.44228,                0.85427,                0.94558,                0.96124,                0.98717,                0.80153,                0.66456,                0.38902,                0.83828,              0.0012674,              0.0012674,              0.0012674
                    114,                0.69802,                0.40564,                0.85981,                0.95219,                0.96486,                0.98827,                0.80456,                0.65741,                0.38369,                0.83716,              0.0012608,              0.0012608,              0.0012608
                    115,                0.80083,                 0.4612,                0.86048,                0.94985,                0.96705,                 0.9897,                0.80684,                 0.6578,                0.38237,                0.83753,              0.0012542,              0.0012542,              0.0012542
                    116,                0.84081,                0.46155,                0.85978,                0.95395,                0.96353,                0.99046,                0.80377,                0.65588,                 0.3818,                 0.8372,              0.0012476,              0.0012476,              0.0012476
                    117,                0.77203,                0.43065,                0.85989,                0.97122,                0.95543,                0.98917,                0.79786,                0.65957,                0.38555,                0.83588,               0.001241,               0.001241,               0.001241
